"rmsea","cfi","version","fac.corr","mech","pattern","per.miss","num.var.miss","samp"
0.014238,0.051163,"FIML-C V4",0.4,"MCAR","min",0,4,200
0.083738,0.329011,"FIML-C V5",0.4,"MCAR","min",0,4,200
0.014238,0.051163,"FIML-C V6",0.4,"MCAR","min",0,4,200
0.014238,0.051163,"TS V0",0.4,"MCAR","min",0,4,200
0.017267,0.0578,"TS V1",0.4,"MCAR","min",0,4,200
0.014228,0.051161,"TS V2",0.4,"MCAR","min",0,4,200
0.014266,0.053945,"FIML",0.3,"MCAR","min",0,4,200
0.014266,0.053945,"FIML-C V0",0.3,"MCAR","min",0,4,200
0.017196,0.0587,"FIML-C V1",0.3,"MCAR","min",0,4,200
0.02388,0.044626,"FIML-C V2",0.3,"MCAR","min",0,4,200
0.014222,0.053808,"FIML-C V3",0.3,"MCAR","min",0,4,200
0.014266,0.053945,"FIML-C V4",0.3,"MCAR","min",0,4,200
0.131041,0.351042,"FIML-C V5",0.3,"MCAR","min",0,4,200
0.014266,0.053945,"FIML-C V6",0.3,"MCAR","min",0,4,200
0.014266,0.053945,"TS V0",0.3,"MCAR","min",0,4,200
0.017327,0.058902,"TS V1",0.3,"MCAR","min",0,4,200
0.014277,0.053954,"TS V2",0.3,"MCAR","min",0,4,200
